id,username,password,email,role
1,ttownsend,pass1,nolankatie@example.com,admin
2,swilson,pass2,kimberly16@example.net,user
3,mrichards,pass3,wrivas@example.net,user
4,susan32,pass4,jeffreyscott@example.com,user
5,robertperkins,pass5,curryjoshua@example.com,user
6,rgreen,pass6,wrodriguez@example.net,user
7,kimberlymiller,pass7,cathy82@example.org,user
8,lisa27,pass8,jessicapotts@example.com,user
9,morristracy,pass9,janet13@example.org,user
10,dyersusan,pass10,michaelturner@example.com,user
11,cooleyadam,pass11,oochoa@example.net,user
12,hillcharles,pass12,mayocynthia@example.org,user
13,gregorygutierrez,pass13,rebecca71@example.org,user
14,jaime74,pass14,jessicacarlson@example.org,user
15,greg21,pass15,lecaitlin@example.net,user
16,iflores,pass16,wyattstephanie@example.net,user
17,john89,pass17,katiefoster@example.net,user
18,smithmelanie,pass18,felicia31@example.org,user
19,linda86,pass19,keith47@example.net,user
20,qfrazier,pass20,jasondavis@example.com,user
